element,original_line,scene_abbreviation,original_content,element_type,element_text,section_depth,scene_number,is_centered,is_dual_dialogue
Character: EDWARD,33,.,EDWARD,Character,EDWARD,0,,False,False
"Dialogue: Now, I'd tried everything on it:  worms, lures, peanut butter, peanut butter-and-cheese.  But on that day I had a revelation:  if that fish was the ghost of a thief, the usual bait wasn't going to work.  I would have to use something he truly desired.",34,.,"Now, I'd tried everything on it:  worms, lures, peanut butter, peanut butter-and-cheese.  But on that day I had a revelation:  if that fish was the ghost of a thief, the usual bait wasn't going to work.  I would have to use something he truly desired. ",Dialogue,"Now, I'd tried everything on it:  worms, lures, peanut butter, peanut butter-and-cheese.  But on that day I had a revelation:  if that fish was the ghost of a thief, the usual bait wasn't going to work.  I would have to use something he truly desired.",0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
"Action: Edward points to his wedding band, glinting in the firelight.",36,.,"Edward points to his wedding band, glinting in the firelight.",Action,"Edward points to his wedding band, glinting in the firelight.",0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
Character: LITTLE BRAVE,38,.,LITTLE BRAVE,Character,LITTLE BRAVE,0,,False,False
Parenthetical: (confused),39,.,(confused),Parenthetical,(confused),0,,False,False
Dialogue: Your finger?,40,.,Your finger?,Dialogue,Your finger?,0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
Action: Edward slips his ring off.,42,.,Edward slips his ring off.,Action,Edward slips his ring off.,0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
Character: EDWARD,44,.,EDWARD,Character,EDWARD,0,,False,False
Dialogue: Gold.,45,.,Gold.,Dialogue,Gold.,0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
"Action: While the other boys are rapt with attention, Will looks bored.  He's heard this story before.",47,.,"While the other boys are rapt with attention, Will looks bored.  He's heard this story before.",Action,"While the other boys are rapt with attention, Will looks bored.  He's heard this story before.",0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
Character: EDWARD,49,.,EDWARD,Character,EDWARD,0,,False,False
"Dialogue: I tied my ring to the strongest line they made -- strong enough to hold up a bridge, they said, if just for a few minutes -- and I cast upriver.",50,.,"I tied my ring to the strongest line they made -- strong enough to hold up a bridge, they said, if just for a few minutes -- and I cast upriver.",Dialogue,"I tied my ring to the strongest line they made -- strong enough to hold up a bridge, they said, if just for a few minutes -- and I cast upriver.",0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
Scene Heading: BLOOM FRONT HALL - NIGHT (1987),52,INT.,INT.  BLOOM FRONT HALL - NIGHT (1987),Scene Heading,BLOOM FRONT HALL - NIGHT (1987),0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
"Action: Edward is chatting up Will's pretty DATE to the homecoming dance.  She is enjoying the story, but also the force of Edward's charisma.  He's hypnotizing.",54,.,"Edward is chatting up Will's pretty DATE to the homecoming dance.  She is enjoying the story, but also the force of Edward's charisma.  He's hypnotizing.",Action,"Edward is chatting up Will's pretty DATE to the homecoming dance.  She is enjoying the story, but also the force of Edward's charisma.  He's hypnotizing.",0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
"Action: EDWARD (CONT'D)
The Beast jumped up and grabbed it before the ring even hit the water.  And just as fast, he snapped clean through that line.",56,.,EDWARD (CONT'D),Action,"EDWARD (CONT'D)
The Beast jumped up and grabbed it before the ring even hit the water.  And just as fast, he snapped clean through that line.",0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
"Action: WILL, now 17 with braces, is fuming and ready to leave.  His mother SANDRA -- from whom he gets his good looks and practicality -- stands with him at the door.",59,.,"WILL, now 17 with braces, is fuming and ready to leave.  His mother SANDRA -- from whom he gets his good looks and practicality -- stands with him at the door.",Action,"WILL, now 17 with braces, is fuming and ready to leave.  His mother SANDRA -- from whom he gets his good looks and practicality -- stands with him at the door.",0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
Character: EDWARD,61,.,EDWARD,Character,EDWARD,0,,False,False
"Dialogue: You can see my predicament.  My wedding ring, the symbol of fidelity to my wife, soon to be the mother of my child, was now lost in the gut of an uncatchable fish.",62,.,"You can see my predicament.  My wedding ring, the symbol of fidelity to my wife, soon to be the mother of my child, was now lost in the gut of an uncatchable fish.",Dialogue,"You can see my predicament.  My wedding ring, the symbol of fidelity to my wife, soon to be the mother of my child, was now lost in the gut of an uncatchable fish.",0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
Action: ON WILL AND SANDRA,64,.,ON WILL AND SANDRA,Action,ON WILL AND SANDRA,0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
Character: WILL,66,.,WILL,Character,WILL,0,,False,False
Parenthetical: (low but insistent),67,.,(low but insistent),Parenthetical,(low but insistent),0,,False,False
Dialogue: Make him stop.,68,.,Make him stop.,Dialogue,Make him stop.,0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
"Action: His mother pats him sympathetically, then adjusts his tie.",70,.,"His mother pats him sympathetically, then adjusts his tie.",Action,"His mother pats him sympathetically, then adjusts his tie.",0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
"Action: WILL'S DATE
What did you do?",72,.,WILL'S DATE,Action,"WILL'S DATE
What did you do?",0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
Character: EDWARD,75,.,EDWARD,Character,EDWARD,0,,False,False
"Dialogue: I followed that fish up-river and down-river for three days and three nights, until I finally had him boxed in.",76,.,"I followed that fish up-river and down-river for three days and three nights, until I finally had him boxed in.",Dialogue,"I followed that fish up-river and down-river for three days and three nights, until I finally had him boxed in.",0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
Action: Will regards his father with exasperated contempt.,78,.,Will regards his father with exasperated contempt.,Action,Will regards his father with exasperated contempt.,0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
Character: EDWARD,80,.,EDWARD,Character,EDWARD,0,,False,False
"Dialogue: With these two hands, I reached in and snatched that fish out of the river.  I looked him straight in the eye.  And I made a remarkable discovery.",81,.,"With these two hands, I reached in and snatched that fish out of the river.  I looked him straight in the eye.  And I made a remarkable discovery. ",Dialogue,"With these two hands, I reached in and snatched that fish out of the river.  I looked him straight in the eye.  And I made a remarkable discovery.",0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
Scene Heading: TINY PARIS RESTAURANT (LA RUE 14Ã‚Â°) - NIGHT (1998),83,INT.,INT.  TINY PARIS RESTAURANT (LA RUE 14Ã‚Â°) - NIGHT (1998),Scene Heading,TINY PARIS RESTAURANT (LA RUE 14Ã‚Â°) - NIGHT (1998),0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
"Action: WILL, now 28, sits with his gorgeous bride JOSEPHINE.  This is their wedding reception, crowded with their friends and family.  They should be joyful, but Will is furious.",85,.,"WILL, now 28, sits with his gorgeous bride JOSEPHINE.  This is their wedding reception, crowded with their friends and family.  They should be joyful, but Will is furious.",Action,"WILL, now 28, sits with his gorgeous bride JOSEPHINE.  This is their wedding reception, crowded with their friends and family.  They should be joyful, but Will is furious.",0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
"Action: Edward has the floor, ostensibly for a toast.  The room is cozy and drunk.",87,.,"Edward has the floor, ostensibly for a toast.  The room is cozy and drunk.",Action,"Edward has the floor, ostensibly for a toast.  The room is cozy and drunk.",0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
Character: EDWARD,89,.,EDWARD,Character,EDWARD,0,,False,False
"Dialogue: This fish, the Beast.  The whole time we were calling it a him, when in fact it was a her.  It was fat with eggs, and was going to lay them any day.",90,.,"This fish, the Beast.  The whole time we were calling it a him, when in fact it was a her.  It was fat with eggs, and was going to lay them any day.",Dialogue,"This fish, the Beast.  The whole time we were calling it a him, when in fact it was a her.  It was fat with eggs, and was going to lay them any day.",0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
"Action: Over near the doorway, we spot Sandra, just returned from the restrooms.  She looks gorgeous.  She couldn't be any happier if this were her own wedding.",92,.,"Over near the doorway, we spot Sandra, just returned from the restrooms.  She looks gorgeous.  She couldn't be any happier if this were her own wedding.",Action,"Over near the doorway, we spot Sandra, just returned from the restrooms.  She looks gorgeous.  She couldn't be any happier if this were her own wedding.",0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
Character: EDWARD,94,.,EDWARD,Character,EDWARD,0,,False,False
"Dialogue: Now, I was in a situation.  I could gut that fish and get my ring back, but doing so I would be killing the smartest catfish in the Ashton River, soon to be mother of a hundred others.",95,.,"Now, I was in a situation.  I could gut that fish and get my ring back, but doing so I would be killing the smartest catfish in the Ashton River, soon to be mother of a hundred others.  ",Dialogue,"Now, I was in a situation.  I could gut that fish and get my ring back, but doing so I would be killing the smartest catfish in the Ashton River, soon to be mother of a hundred others.",0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
"Action: Will can't take any more.  Josephine tries to hold him back, but he gets up and leaves.  Edward doesn't even notice.",97,.,"Will can't take any more.  Josephine tries to hold him back, but he gets up and leaves.  Edward doesn't even notice.",Action,"Will can't take any more.  Josephine tries to hold him back, but he gets up and leaves.  Edward doesn't even notice.",0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
"Action: EDWARD (CONT'D)
Did I want to deprive my soon-to-be-born son the chance to catch a fish like this of his own?  This lady fish and I, well, we had the same destiny.",99,.,EDWARD (CONT'D),Action,"EDWARD (CONT'D)
Did I want to deprive my soon-to-be-born son the chance to catch a fish like this of his own?  This lady fish and I, well, we had the same destiny.",0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
"Action: As he leaves, Will mutters in perfect unison with his father--",102,.,"As he leaves, Will mutters in perfect unison with his father--",Action,"As he leaves, Will mutters in perfect unison with his father--",0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
Character: EDWARD AND WILL,104,.,EDWARD AND WILL,Character,EDWARD AND WILL,0,,False,False
Dialogue: We were part of the same equation.,105,.,We were part of the same equation.,Dialogue,We were part of the same equation.,0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
"Action: Will reaches the door, where his mother intercepts him.",107,.,"Will reaches the door, where his mother intercepts him.",Action,"Will reaches the door, where his mother intercepts him.",0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
Character: SANDRA,109,.,SANDRA,Character,SANDRA,0,,False,False
"Dialogue: Honey, it's still your night.",110,.,"Honey, it's still your night.",Dialogue,"Honey, it's still your night.",0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
Action: Will can't articulate his anger.  He just leaves.,112,.,Will can't articulate his anger.  He just leaves.,Action,Will can't articulate his anger.  He just leaves.,0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
Character: EDWARD,114,.,EDWARD,Character,EDWARD,0,,False,False
"Dialogue: Now, you may well ask, since this lady fish wasn't the ghost of a thief, why did it strike so quick on gold when nothing else would attract it?",115,.,"Now, you may well ask, since this lady fish wasn't the ghost of a thief, why did it strike so quick on gold when nothing else would attract it?",Dialogue,"Now, you may well ask, since this lady fish wasn't the ghost of a thief, why did it strike so quick on gold when nothing else would attract it?",0,,False,False
Parenthetical: (closer; he holds up his ring),116,.,(closer; he holds up his ring),Parenthetical,(closer; he holds up his ring),0,,False,False
"Dialogue: That was the lesson I learned that day, the day my son was born.",117,.,"That was the lesson I learned that day, the day my son was born.  ",Dialogue,"That was the lesson I learned that day, the day my son was born.",0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
Action: He focuses his words on Sandra.  This story is -- and has always been -- about her more than anyone.,119,.,He focuses his words on Sandra.  This story is -- and has always been -- about her more than anyone.,Action,He focuses his words on Sandra.  This story is -- and has always been -- about her more than anyone.,0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
Character: EDWARD,121,.,EDWARD,Character,EDWARD,0,,False,False
"Dialogue: Sometimes, the only way to catch an uncatchable woman is to offer her a wedding ring.",122,.,"Sometimes, the only way to catch an uncatchable woman is to offer her a wedding ring.",Dialogue,"Sometimes, the only way to catch an uncatchable woman is to offer her a wedding ring.",0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
Action: A LAUGH from the crowd.,124,.,A LAUGH from the crowd.  ,Action,A LAUGH from the crowd.,0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
"Action: Edward motions for Sandra to get up here with him.  As she crosses, we can see that thirty years of marriage has not lessened their affection for each other.",126,.,"Edward motions for Sandra to get up here with him.  As she crosses, we can see that thirty years of marriage has not lessened their affection for each other.  ",Action,"Edward motions for Sandra to get up here with him.  As she crosses, we can see that thirty years of marriage has not lessened their affection for each other.",0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
"Action: As they kiss, Edward tweaks her chin a special little way.  The crowd APPLAUDS.",128,.,"As they kiss, Edward tweaks her chin a special little way.  The crowd APPLAUDS.",Action,"As they kiss, Edward tweaks her chin a special little way.  The crowd APPLAUDS.",0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
"Action: Edward toasts the happy couple.  Josephine covers well for her absent husband, a smile as warm as summer.",130,.,"Edward toasts the happy couple.  Josephine covers well for her absent husband, a smile as warm as summer.",Action,"Edward toasts the happy couple.  Josephine covers well for her absent husband, a smile as warm as summer.",0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
Action: Edward downs his champagne in a gulp.,132,.,Edward downs his champagne in a gulp.,Action,Edward downs his champagne in a gulp.,0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
Scene Heading: OUTSIDE LA RUE 14Ã‚Â° - NIGHT,134,EXT.,EXT.  OUTSIDE LA RUE 14Ã‚Â° - NIGHT,Scene Heading,OUTSIDE LA RUE 14Ã‚Â° - NIGHT,0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
"Action: We come into the middle of an argument on the sidewalk.  Occasional PASSERSBY take notice, especially as it gets more heated.  Both men are a little drunk.",136,.,"We come into the middle of an argument on the sidewalk.  Occasional PASSERSBY take notice, especially as it gets more heated.  Both men are a little drunk.",Action,"We come into the middle of an argument on the sidewalk.  Occasional PASSERSBY take notice, especially as it gets more heated.  Both men are a little drunk.",0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
Character: EDWARD,138,.,EDWARD,Character,EDWARD,0,,False,False
"Dialogue: What, a father's not allowed to talk about his son?",139,.,"What, a father's not allowed to talk about his son?",Dialogue,"What, a father's not allowed to talk about his son?",0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
Character: WILL,141,.,WILL,Character,WILL,0,,False,False
Parenthetical: (disbelieving),142,.,(disbelieving),Parenthetical,(disbelieving),0,,False,False
Dialogue: I am a footnote in that story.  I am the context for your great adventure.  Which never happened!  Incidentally!  You were selling novelty products in Wichita the day I was born.,143,.,I am a footnote in that story.  I am the context for your great adventure.  Which never happened!  Incidentally!  You were selling novelty products in Wichita the day I was born.  ,Dialogue,I am a footnote in that story.  I am the context for your great adventure.  Which never happened!  Incidentally!  You were selling novelty products in Wichita the day I was born.,0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
Character: EDWARD,145,.,EDWARD,Character,EDWARD,0,,False,False
Parenthetical: (shaking his head),146,.,(shaking his head),Parenthetical,(shaking his head),0,,False,False
Dialogue: Jesus Christ.,147,.,Jesus Christ.,Dialogue,Jesus Christ.,0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
Character: WILL,149,.,WILL,Character,WILL,0,,False,False
Dialogue: Friend of yours?  Did you help him out of a bind?,150,.,Friend of yours?  Did you help him out of a bind?,Dialogue,Friend of yours?  Did you help him out of a bind?,0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
Character: EDWARD,152,.,EDWARD,Character,EDWARD,0,,False,False
"Dialogue: Come on, Will.  Everyone likes that story.",153,.,"Come on, Will.  Everyone likes that story.",Dialogue,"Come on, Will.  Everyone likes that story.",0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
Character: WILL,155,.,WILL,Character,WILL,0,,False,False
"Dialogue: No Dad, they don't.  _I_ do not like the story.  Not anymore, not after a _thousand_ _times_.  I know all the punchlines, Dad.  I can tell them as well as you can.",156,.,"No Dad, they don't.  _I_ do not like the story.  Not anymore, not after a _thousand_ _times_.  I know all the punchlines, Dad.  I can tell them as well as you can.",Dialogue,"No Dad, they don't.  _I_ do not like the story.  Not anymore, not after a _thousand_ _times_.  I know all the punchlines, Dad.  I can tell them as well as you can.",0,,False,False
Parenthetical: (closer),157,.,(closer),Parenthetical,(closer),0,,False,False
"Dialogue: For one night, one night in your entire life, the universe does not revolve around Edward Bloom.  It revolves around me and my wife.  How can you not understand that?",158,.,"For one night, one night in your entire life, the universe does not revolve around Edward Bloom.  It revolves around me and my wife.  How can you not understand that?",Dialogue,"For one night, one night in your entire life, the universe does not revolve around Edward Bloom.  It revolves around me and my wife.  How can you not understand that?",0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
"Action: A long beat, then...",160,.,"A long beat, then...",Action,"A long beat, then...",0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
Character: EDWARD,162,.,EDWARD,Character,EDWARD,0,,False,False
Parenthetical: (low),163,.,(low),Parenthetical,(low),0,,False,False
Dialogue: Sorry to embarrass you.,164,.,Sorry to embarrass you.,Dialogue,Sorry to embarrass you.,0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
Action: Will won't let him get the last word.,166,.,Will won't let him get the last word.,Action,Will won't let him get the last word.,0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
Character: WILL,168,.,WILL,Character,WILL,0,,False,False
"Dialogue: You're embarrassing yourself, Dad.  You just don't see it.",169,.,"You're embarrassing yourself, Dad.  You just don't see it.",Dialogue,"You're embarrassing yourself, Dad.  You just don't see it.",0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
"Action: ANGLE ON Edward.  Fine.  A hand to wave, enough of you.",171,.,"ANGLE ON Edward.  Fine.  A hand to wave, enough of you. ",Action,"ANGLE ON Edward.  Fine.  A hand to wave, enough of you.",0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
Action: He walks away.,173,.,He walks away.,Action,He walks away.,0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
"Action: ANGLE ON Will, still fuming with righteous anger.  It's then we FREEZE FRAME.",175,.,"ANGLE ON Will, still fuming with righteous anger.  It's then we FREEZE FRAME.",Action,"ANGLE ON Will, still fuming with righteous anger.  It's then we FREEZE FRAME.",0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
"Action: WILL (V.O.)(CONT'D)
After that night, I didn't speak to my father again for three years.",177,.,WILL (V.O.)(CONT'D),Action,"WILL (V.O.)(CONT'D)
After that night, I didn't speak to my father again for three years.",0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
Scene Heading: A.P. NEWSROOM (PARIS) - DAY,180,INT.,INT.  A.P. NEWSROOM (PARIS) - DAY  ,Scene Heading,A.P. NEWSROOM (PARIS) - DAY,0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
"Action: A typically busy day.  On hold with the phone cradled under an ear, Will sorts through a bundle of mail dropped on his desk.",182,.,"A typically busy day.  On hold with the phone cradled under an ear, Will sorts through a bundle of mail dropped on his desk.",Action,"A typically busy day.  On hold with the phone cradled under an ear, Will sorts through a bundle of mail dropped on his desk.",0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
"Action: WILL (ON PHONE)
(without pauses)
William Bloom with the Associated Press if I could just...",184,.,WILL (ON PHONE),Action,"WILL (ON PHONE)
(without pauses)
William Bloom with the Associated Press if I could just...",0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
"Action: He's put back on hold.  Returning to the mail, he finds a hand-addressed envelope.  Rips it open.",188,.,"He's put back on hold.  Returning to the mail, he finds a hand-addressed envelope.  Rips it open.",Action,"He's put back on hold.  Returning to the mail, he finds a hand-addressed envelope.  Rips it open.",0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
"Action: WILL (V.O.)(CONT'D)
We communicated indirectly I guess.  In her letters and Christmas cards, my mother would write for both of them.",190,.,WILL (V.O.)(CONT'D),Action,"WILL (V.O.)(CONT'D)
We communicated indirectly I guess.  In her letters and Christmas cards, my mother would write for both of them.",0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
Scene Heading: BLOOM HOUSE KITCHEN - DAY,193,INT.,INT.  BLOOM HOUSE KITCHEN - DAY,Scene Heading,BLOOM HOUSE KITCHEN - DAY,0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
"Action: At the table, Sandra talks on the phone while Edward fixes a sandwich.",195,.,"At the table, Sandra talks on the phone while Edward fixes a sandwich.",Action,"At the table, Sandra talks on the phone while Edward fixes a sandwich.",0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
"Action: WILL (V.O.)
When I'd call, Mom would say that Dad was out driving.  Or swimming in the pool.",197,.,WILL (V.O.),Action,"WILL (V.O.)
When I'd call, Mom would say that Dad was out driving.  Or swimming in the pool.",0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
"Action: Edward takes a seat, starting to eat his sandwich.",200,.,"Edward takes a seat, starting to eat his sandwich.",Action,"Edward takes a seat, starting to eat his sandwich.",0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
"Action: WILL (V.O.) (CONT'D)
True to form, we never talked about our not talking.",202,.,WILL (V.O.) (CONT'D),Action,"WILL (V.O.) (CONT'D)
True to form, we never talked about our not talking.",0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
Scene Heading: BLOOM HOUSE MASTER BEDROOM - NIGHT,205,INT.,INT.  BLOOM HOUSE MASTER BEDROOM - NIGHT,Scene Heading,BLOOM HOUSE MASTER BEDROOM - NIGHT,0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
"Action: Sandra stands by the window, watching as...",207,.,"Sandra stands by the window, watching as...",Action,"Sandra stands by the window, watching as...",0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
Scene Heading: BLOOM BACK YARD - NIGHT [CONTINUOUS],209,EXT.,EXT.  BLOOM BACK YARD - NIGHT [CONTINUOUS],Scene Heading,BLOOM BACK YARD - NIGHT [CONTINUOUS],0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
Action: Edward swims laps in the family pool.  He's born to the water.,211,.,Edward swims laps in the family pool.  He's born to the water.,Action,Edward swims laps in the family pool.  He's born to the water.,0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
"Action: WILL (V.O.)
The truth is, I didn't see anything of myself in my father, and I don't think he saw anything of himself in me.  We were like strangers who knew each other very well.",213,.,WILL (V.O.),Action,"WILL (V.O.)
The truth is, I didn't see anything of myself in my father, and I don't think he saw anything of himself in me.  We were like strangers who knew each other very well.",0,,False,False
Empty Line: ,0,.,,Empty Line,,0,,False,False
